iteration,loss,target_attention_loss,target_attention_mass_loss,target_attention_mass_in_mask,target_attention_mass_lift,target_attention_inside_outside_ratio,target_matching_loss,target_matching_prob_inside,target_matching_prob_outside
1,1.5176,0.9213,6.4852,0.0015,0.9958,0.9964,1.3808,0.4996,0.4968
2,1.4755,0.8465,5.3844,0.0046,1.0036,1.0038,1.3867,0.4942,0.4962
3,1.4683,0.7862,4.8181,0.0081,1.01,1.0102,1.3737,0.5041,0.4967
4,1.4658,0.779,4.7658,0.0085,0.9853,0.9853,1.3816,0.4965,0.4941
5,1.4685,0.7039,4.4752,0.0114,1.0066,1.0068,1.389,0.4939,0.4967
6,1.481,0.7772,3.9002,0.0202,0.9615,0.9607,1.3888,0.4966,0.498
7,1.4754,0.7516,5.11,0.006,0.9833,0.9834,1.3856,0.4976,0.4978
8,1.5069,0.6092,3.6808,0.0252,1.029,1.0298,1.3762,0.5027,0.4977
9,1.4633,0.7781,5.4117,0.0045,1.0244,1.0247,1.3754,0.501,0.4961
10,1.6265,0.6576,4.4003,0.0123,1.0453,1.046,1.3832,0.5019,0.4998
11,1.4703,0.9127,5.8792,0.0028,1.0066,1.007,1.3828,0.4945,0.4941
12,1.5321,0.722,4.9349,0.0072,1.0336,1.034,1.3818,0.5049,0.5003
13,1.472,0.5405,3.0255,0.0485,1.0055,1.0058,1.3895,0.4977,0.4992
14,1.8665,0.929,5.0544,0.0064,0.9597,0.9596,1.3849,0.4996,0.4994
15,1.6089,0.6241,4.3913,0.0124,1.0844,1.0856,1.3847,0.5009,0.4995
16,1.5446,0.8502,6.077,0.0023,1.0171,1.0176,1.3845,0.4938,0.4978
17,1.5757,0.4927,2.8548,0.0576,1.0368,1.0391,1.3885,0.4976,0.4987
18,1.586,0.8343,5.5618,0.0038,1.0239,1.0242,1.3851,0.498,0.4985
19,1.8463,0.5485,3.3112,0.0365,1.0005,1.0005,1.3867,0.4997,0.4997
20,1.4634,0.833,5.3354,0.0048,1.0019,1.0021,1.3696,0.5036,0.4939
21,1.572,0.7813,5.5077,0.0041,1.0318,1.0322,1.3848,0.5008,0.4989
22,1.5158,0.8137,5.6523,0.0035,0.9885,0.9887,1.3798,0.4993,0.4971
23,1.4571,0.7104,4.9856,0.0068,0.9996,0.9998,1.3793,0.4972,0.4943
24,1.485,0.5715,3.079,0.046,1.0166,1.0174,1.3867,0.4996,0.4998
25,1.4819,0.7221,5.335,0.0048,1.0683,1.0689,1.3821,0.4995,0.4971
26,1.5605,0.366,0.8935,0.4092,0.9961,0.9934,1.3913,0.4973,0.4995
27,1.5248,0.4679,2.3018,0.1001,1.027,1.03,1.3932,0.5044,0.5069
28,1.477,0.806,5.5827,0.0038,1.0287,1.0291,1.3826,0.5009,0.4984
29,1.5653,1.0495,7.3154,0.0007,0.9992,1.0007,1.3816,0.4994,0.4977
30,1.5748,0.7873,5.435,0.0044,0.9717,0.9718,1.3855,0.4988,0.4985
31,1.4818,0.9387,6.5273,0.0015,0.9972,0.9979,1.3844,0.496,0.4975
32,1.5443,0.6056,3.8211,0.0219,1.0401,1.041,1.387,0.4977,0.4984
33,1.4941,0.5221,2.9969,0.0499,1.0607,1.0639,1.3849,0.4981,0.4972
34,1.5032,0.5917,3.5475,0.0288,1.0222,1.0229,1.3855,0.4897,0.4906
35,1.6328,0.7151,4.4207,0.012,1.001,1.0011,1.3875,0.4977,0.4985
36,1.5376,0.606,3.6442,0.0261,1.0367,1.0378,1.3883,0.5022,0.5028
37,1.5934,0.8329,6.2936,0.0018,1.0373,1.0379,1.3857,0.4984,0.4988
38,1.7057,0.6866,4.599,0.0101,1.0348,1.0352,1.3874,0.4989,0.4993
39,1.4713,0.7221,4.5658,0.0104,1.0105,1.0107,1.3925,0.4984,0.5013
40,1.4832,0.4372,2.3639,0.0941,1.0041,1.0045,1.363,0.5079,0.4955
41,1.4626,0.7308,5.3565,0.0047,1.0539,1.0544,1.3809,0.4935,0.4958
42,1.4532,0.6564,4.3207,0.0133,1.0243,1.0247,1.3869,0.494,0.4953
43,1.482,0.4745,2.9951,0.05,1.0793,1.0835,1.3747,0.4998,0.494
44,1.4617,0.5172,3.0102,0.0493,0.9972,0.9971,1.3815,0.5007,0.4978
45,1.5104,0.7863,5.4082,0.0045,1.0394,1.0398,1.3782,0.5032,0.4981
46,1.4702,0.603,3.7903,0.0226,0.99,0.9898,1.3791,0.5017,0.4973
47,1.6339,0.4175,2.3225,0.098,1.0733,1.0813,1.3827,0.5008,0.4987
48,1.4649,1.0701,7.3281,0.0007,0.9693,0.9707,1.382,0.502,0.4999
49,1.49,0.913,5.459,0.0043,0.9614,0.9614,1.3946,0.4989,0.5025
50,1.4686,0.819,5.3325,0.0048,0.9621,0.9621,1.3848,0.4998,0.4987
51,1.5,0.8582,6.3548,0.0017,1.0761,1.0769,1.3824,0.5028,0.4978
52,1.4648,0.9846,6.5485,0.0014,0.9883,0.989,1.3702,0.4998,0.4936
53,1.5818,0.9079,6.3162,0.0018,0.9568,0.9572,1.3873,0.4961,0.4977
54,1.5083,0.7689,4.6663,0.0094,1.0185,1.0188,1.3867,0.4954,0.4964
55,1.5065,0.849,5.7701,0.0031,1.0104,1.0107,1.3821,0.4992,0.4973
56,1.6254,0.7879,5.8691,0.0028,1.0211,1.0216,1.3827,0.5006,0.4989
57,1.5107,0.584,3.5542,0.0286,1.0328,1.0338,1.3853,0.4974,0.4968
58,1.7167,0.6993,4.4988,0.0111,1.0194,1.0197,1.3849,0.5004,0.4994
59,1.5446,0.7822,5.712,0.0033,1.0051,1.0055,1.381,0.4988,0.4973
60,1.6328,0.774,5.6614,0.0035,1.0459,1.0464,1.3875,0.5014,0.5004
61,1.4668,0.5845,3.8712,0.0208,1.0533,1.0545,1.3893,0.4976,0.4987
62,1.5113,0.7899,4.5034,0.0111,0.9654,0.9651,1.3877,0.4993,0.4999
63,1.4643,0.941,7.1207,0.0008,1.0303,1.0316,1.3808,0.5013,0.4962
64,1.4574,0.603,3.5572,0.0285,1.0098,1.0101,1.383,0.4968,0.4945
65,1.5125,0.6421,3.5653,0.0283,1.0119,1.0123,1.3993,0.4836,0.4916
66,1.4959,0.819,5.6945,0.0034,0.9737,0.9739,1.3834,0.4989,0.4978
67,1.4668,0.7453,5.0322,0.0065,1.0368,1.0372,1.3892,0.4971,0.4995
68,1.4967,0.7514,5.0703,0.0063,0.9851,0.9852,1.3833,0.4953,0.4944
69,1.4866,0.864,4.4487,0.0117,0.9733,0.9731,1.3908,0.4949,0.4984
70,1.5411,0.6384,4.0779,0.0169,0.9884,0.9883,1.3895,0.4961,0.4981
71,1.46,0.6272,3.8017,0.0223,1.0382,1.0391,1.3907,0.4935,0.4961
72,1.8934,0.8829,5.4885,0.0041,0.978,0.9782,1.3842,0.5002,0.4993
73,1.5441,0.5446,3.3977,0.0334,1.0344,1.0356,1.3882,0.4984,0.499
74,1.5079,0.6187,3.7548,0.0234,1.0163,1.0167,1.3879,0.4969,0.4979
75,1.4976,0.7135,4.8674,0.0077,0.9908,0.9909,1.3743,0.5024,0.496
76,1.4758,0.9218,6.8258,0.0011,1.015,1.0159,1.3835,0.503,0.4976
77,1.5165,0.7168,4.308,0.0135,1.0069,1.0071,1.3832,0.4988,0.4976
78,1.6163,0.7482,5.5876,0.0037,1.0652,1.0657,1.3916,0.496,0.4989
79,1.4961,0.8343,6.194,0.002,1.0355,1.0361,1.3841,0.4998,0.4984
80,1.5844,0.6267,3.6849,0.0251,1.0068,1.007,1.3835,0.5011,0.4995
81,1.4559,0.6341,4.3577,0.0128,1.0413,1.042,1.3849,0.4957,0.4961
82,1.4664,0.7321,5.0255,0.0066,1.0245,1.0248,1.3817,0.5002,0.498
83,1.5418,0.9995,5.8687,0.0028,0.9445,0.9447,1.3819,0.5007,0.498
84,1.4647,0.5589,3.5806,0.0279,1.0439,1.0452,1.3935,0.4989,0.5023
85,1.4539,0.7703,5.6961,0.0034,1.0476,1.0481,1.3851,0.4991,0.4981
